Place ID,Nama Tempat,Alamat,Jenis Bisnis,Rating,Jumlah Review,Jam Operasional,Harga Start,Harga End,Latitude,Longitude,Telepon,Website,Keyword
ChIJ3Z0aT0SNcC4R5DYgdoElS6I,"BAKMI SUROBOYO MAS NDUT (YUDI),METESEH","Jl. Raya Sendangmulyo, Meteseh, Kec. Tembalang, Kota Semarang, Jawa Tengah 50271, Indonesia",Restoran Mie,4.3,8,Senin: 17.30–23.00 | Selasa: 17.30–23.00 | Rabu: 17.30–23.00 | Kamis: 17.30–23.00 | Jumat: 17.30–23.00 | Sabtu: 17.30–23.00 | Minggu: 17.30–23.00,,,-7.052854399999999,110.47146649999999,0878-3106-0032,,bakmi
ChIJfycgi0aMcC4R9v_d-Pm9wYE,Bakmi Jowo Pak Gito,"XFF5+9Q6, Jl. Sambiroto Raya, Sambiroto, Kec. Tembalang, Kota Semarang, Jawa Tengah 50276, Indonesia",Restoran Mie,4.3,22,Senin: 17.00–00.00 | Selasa: 17.00–00.00 | Rabu: 17.00–00.00 | Kamis: 17.00–00.00 | Jumat: 17.00–00.00 | Sabtu: 17.00–00.00 | Minggu: 17.00–00.00,1.0,25000.0,-7.0265843,110.4593769,0812-2527-7968,,bakmi
ChIJMZUA_IKOcC4RmshG28sWIio,Bakmi Jowo Bu Hadi,"Jalan Prof. Suharso ,Meteseh, Tembalang, Meteseh, Kec. Tembalang, Kota Semarang, Jawa Tengah 50271, Indonesia",Restoran Mie,4.0,28,Senin: 16.30–00.00 | Selasa: 16.30–00.00 | Rabu: 16.30–00.00 | Kamis: 16.30–00.00 | Jumat: 16.30–00.00 | Sabtu: 16.30–00.00 | Minggu: 16.30–00.00,1.0,25000.0,-7.056713599999999,110.4647068,0812-4248-4643,,bakmi
ChIJJQMvvciPcC4RZvQ_1E_TXQA,Bakmi Jowo Mas Ndut,"Jl. Dinar Elok Raya No.K2 No.5, Meteseh, Kec. Tembalang, Kota Semarang, Jawa Tengah 50271, Indonesia",Restoran Mie,3.8,21,Senin: 16.30–00.00 | Selasa: 16.30–00.00 | Rabu: 16.30–00.00 | Kamis: 16.30–00.00 | Jumat: 16.30–00.00 | Sabtu: 16.30–00.00 | Minggu: 16.30–00.00,1.0,25000.0,-7.0603978,110.4691213,,,bakmi
ChIJXaXROPKMcC4RcsCILDuQ1qQ,Bakmi Surabaya & Seafood Sukabangijo,"Jl. Majapahit No.299, Gemah, Kec. Pedurungan, Kota Semarang, Jawa Tengah 50246, Indonesia",Restoran Mie,4.4,973,Senin: Tutup | Selasa: 12.00–23.00 | Rabu: 12.00–23.00 | Kamis: 12.00–23.00 | Jumat: 12.00–23.00 | Sabtu: 12.00–23.00 | Minggu: 12.00–23.00,25000.0,50000.0,-7.0060690999999995,110.4549628,0812-3643-9079,,bakmi
ChIJKQGsi8CNcC4RMUH7EycP9o0,bakmie surabaya mas allfa99,"Jl. Kedungmundu No.169, Sendangguwo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50271, Indonesia",Konsultan,5.0,3,Senin: 17.00–23.00 | Selasa: 16.30–23.30 | Rabu: 16.30–23.30 | Kamis: 16.30–23.30 | Jumat: 17.00–23.00 | Sabtu: 16.30–23.30 | Minggu: Buka 24 jam,,,-7.013551,110.45174600000001,0822-2408-0549,http://grabfood.co.id/,bakmi
ChIJC81FzY6McC4R0UtayITFLyQ,Pondok Bakmi Ayu Bu Tarno,"XCQR+XQ7, Gg. X, Lamper Tengah, Kec. Semarang Sel., Kota Semarang, Jawa Tengah 50248, Indonesia",Restoran Mie,4.5,730,Senin: 01.00–00.00 | Selasa: 01.00–00.00 | Rabu: 01.00–00.00 | Kamis: 01.00–00.00 | Jumat: 01.00–00.00 | Sabtu: 01.00–00.00 | Minggu: 01.00–00.00,1.0,50000.0,-7.010088100000001,110.4419089,0852-8783-0644,,bakmi
ChIJn2u2R1WLcC4R_GOmVImnhjc,Bakmi Hap Kie,"Jl. Beteng No.117, Kranggan, Kec. Semarang Tengah, Kota Semarang, Jawa Tengah 50139, Indonesia",Restoran Hidangan Mie China,4.5,2689,Senin: 11.00–21.00 | Selasa: 11.00–21.00 | Rabu: 11.00–21.00 | Kamis: 11.00–21.00 | Jumat: 11.00–21.00 | Sabtu: 11.00–21.00 | Minggu: 11.00–21.00,25000.0,50000.0,-6.9782128,110.4249548,(024) 3540631,,bakmi
ChIJKY92avyMcC4RdmoDtfRZTTI,Bakmi Jowo Bang Jum,"XFRC+X7M, Jl. Pedurungan Tengah 6, Palebon, Kec. Pedurungan, Kota Semarang, Jawa Tengah 50246, Indonesia",Restoran Mie,4.3,390,Senin: 18.30–00.00 | Selasa: 18.30–00.00 | Rabu: 18.30–00.00 | Kamis: 18.30–00.00 | Jumat: 18.30–00.00 | Sabtu: 18.30–00.00 | Minggu: 18.30–00.00,1.0,25000.0,-7.0075417,110.470664,0815-7669-654,,bakmi
ChIJie89a4WMcC4RnGtD4gLyXI0,"Pondok Bakmi Jowo ""SIPER"" (Isi Perut)","Jl. Sompok Baru No.69, Lamper Kidul, Kec. Semarang Sel., Kota Semarang, Jawa Tengah 50249, Indonesia",Restoran Mie,4.5,295,Senin: 13.00–00.00 | Selasa: 13.00–00.00 | Rabu: 13.00–00.00 | Kamis: 13.00–00.00 | Jumat: 13.00–00.00 | Sabtu: 13.00–00.00 | Minggu: 13.00–00.00,1.0,25000.0,-7.0067447,110.4366517,,,bakmi
ChIJG2EFDVaPcC4R6ED15rlorfc,Nasi Goreng & Bakmi Jawa (Graha Metro),"Graha Metro No.12B Blk B, Meteseh, Kec. Tembalang, Kota Semarang, Jawa Tengah 50271, Indonesia",Restoran,4.0,24,Senin: 15.00–00.00 | Selasa: 15.00–00.00 | Rabu: 15.00–00.00 | Kamis: 15.00–00.00 | Jumat: 15.00–00.00 | Sabtu: 15.00–00.00 | Minggu: 15.00–00.00,1.0,25000.0,-7.0594698,110.4768222,0856-4334-8465,,bakmi
ChIJ_VHlvsiNcC4RcqfwTM81Q1g,Warung TUMAN - Nasi Goreng & Bakmi Tuman,"Meteseh, Kec. Tembalang, Kota Semarang, Jawa Tengah 50271, Indonesia",Restoran Indonesia,5.0,12,Senin: 17.00–22.00 | Selasa: 17.00–22.00 | Rabu: 17.00–22.00 | Kamis: 17.00–22.00 | Jumat: 17.00–22.00 | Sabtu: 17.00–22.00 | Minggu: 17.00–22.00,,,-7.0532611,110.47766539999999,,https://id.shp.ee/ehq3wrw?smtt=0.0.9,bakmi
ChIJnxdaBlOMcC4RGNV3jIigBFU,Bakmie Suroboyo,"XFHC+JFF, Jl. Mukharom, Kedungmundu, Kec. Tembalang, Kota Semarang, Jawa Tengah 50273, Indonesia",Restoran Mie,4.6,5,Senin: 12.00–22.00 | Selasa: 12.00–22.00 | Rabu: 12.00–22.00 | Kamis: 12.00–22.00 | Jumat: 12.00–22.00 | Sabtu: 12.00–22.00 | Minggu: 12.00–22.00,,,-7.0209261,110.4711605,,,bakmi
ChIJ1SQpuN-NcC4RDwGw_exhshM,Bakmi jowo Petruk,"Jl. Fatmawati No.175, Kedungmundu, Kec. Tembalang, Kota Semarang, Jawa Tengah 50273, Indonesia",Restoran Mie,4.3,11,Senin: Buka 24 jam | Selasa: Buka 24 jam | Rabu: Buka 24 jam | Kamis: Buka 24 jam | Jumat: Buka 24 jam | Sabtu: Buka 24 jam | Minggu: Buka 24 jam,1.0,25000.0,-7.023638,110.4683441,0889-3316-417,,bakmi
